"id","name","group","0_5000_old","5000_10000_old","10000_15000_old","15000_20000_old","20000_25000_old","25000_30000_old","30000_35000_new","35000_38546_new"
"16166","поражаю","ГЛАГОЛ","1","3","0","2","0","0","0","0"
"16167","помнить","ИНФИНИТИВ","0","0","0","2","1","0","1","0"
"16168","протяжного","ПРИЛАГАТЕЛЬНОЕ","1","0","0","0","0","0","0","0"
"16169","двадцати","ЧИСЛИТЕЛЬНОЕ","26","3","33","0","3","9","2","0"
"16170","несправедливого","ПРИЛАГАТЕЛЬНОЕ","0","0","1","1","0","1","0","0"
"16171","куда-нибудь","НАРЕЧИЕ","0","1","0","0","0","0","0","0"
"16172","продолжать","ИНФИНИТИВ","0","0","0","0","0","2","0","0"
"16173","пролетит","ГЛАГОЛ","0","0","0","0","0","1","0","0"
"16174","честная","ПРИЛАГАТЕЛЬНОЕ","0","0","0","1","0","0","0","0"
"16175","столов","СУЩЕСТВИТЕЛЬНОЕ","0","0","2","0","0","1","0","0"
"16176","пилою","СУЩЕСТВИТЕЛЬНОЕ","0","1","0","0","0","0","0","0"
"16177","заменили","ГЛАГОЛ","0","0","0","0","0","0","0","2"
"16178","тщетна","ПРИЛАГАТЕЛЬНОЕ","0","0","0","1","1","0","0","4"
"16179","составят","ГЛАГОЛ","0","0","0","0","0","1","0","0"
"16180","клялись","ГЛАГОЛ","1","4","2","1","0","2","0","0"
"16181","войску","СУЩЕСТВИТЕЛЬНОЕ","0","1","3","0","0","6","0","0"
"16182","беспорядка","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","1","0","0","0","0"
"16183","вещей","СУЩЕСТВИТЕЛЬНОЕ","7","0","9","3","1","0","1","1"
"16184","протянется","ГЛАГОЛ","0","0","0","0","0","1","0","0"
"16185","поднимался","ГЛАГОЛ","2","0","1","0","0","2","0","0"
"16186","субботе","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","1","0","0","0","0"
"16187","курица","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","0","1","0","0"
"16188","господня","ПРИЛАГАТЕЛЬНОЕ","42","59","97","18","41","19","12","8"
"16189","являешься","ГЛАГОЛ","0","0","1","0","0","0","0","0"
"16190","кремню","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","1","0","0","0"
"16191","радостной","ПРИЛАГАТЕЛЬНОЕ","0","0","1","0","0","0","0","0"
"16192","оскорблений","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","2","0","0","0","0"
"16193","пустынной","ПРИЛАГАТЕЛЬНОЕ","0","0","0","1","0","0","0","0"
"16194","кончилось","ГЛАГОЛ","0","1","0","0","3","0","0","0"
"16195","зловоние","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","1","1","0","0"
"16196","старцам","СУЩЕСТВИТЕЛЬНОЕ","0","0","1","0","1","2","0","0"
"16197","пристанище","СУЩЕСТВИТЕЛЬНОЕ","0","1","1","0","1","0","0","0"
"16198","опасения","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","2","0","0","1","0"
"16199","минувших","ПРИЛАГАТЕЛЬНОЕ","0","0","0","1","0","0","0","0"
"16200","моля","ДЕЕПРИЧАСТИЕ","0","0","0","0","0","1","0","0"
"16201","коварным","ПРИЛАГАТЕЛЬНОЕ","0","0","0","1","0","1","0","0"
"16202","неверное","ПРИЛАГАТЕЛЬНОЕ","0","0","0","0","0","0","0","2"
"16203","супруги","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","0","1","0","0"
"16204","мною","МЕСТОИМЕНИЕ","64","70","57","58","47","54","64","33"
"16205","указании","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","0","1","0","0"
"16206","столбы","СУЩЕСТВИТЕЛЬНОЕ","14","6","5","2","7","5","0","0"
"16208","выступил","ГЛАГОЛ","3","12","15","0","0","4","1","0"
"16209","оказалась","ГЛАГОЛ","0","0","0","0","1","2","0","3"
"16210","послано","ПРИЛАГАТЕЛЬНОЕ","0","0","0","0","0","0","1","1"
"16211","оглянулись","ГЛАГОЛ","2","0","1","0","0","0","0","0"
"16212","отмечать","ИНФИНИТИВ","0","0","0","0","0","1","0","0"
"19159","окажет","ГЛАГОЛ","0","0","1","0","1","0","0","0"
"16214","близкое","ПРИЛАГАТЕЛЬНОЕ","0","0","0","0","0","0","0","1"
"16215","спящих","ПРИЛАГАТЕЛЬНОЕ","0","0","0","0","0","1","0","0"
"16216","повар","СУЩЕСТВИТЕЛЬНОЕ","0","1","0","0","0","0","0","0"
"16217","палки","СУЩЕСТВИТЕЛЬНОЕ","1","2","0","0","0","0","0","0"
"16218","дралось","ГЛАГОЛ","2","0","0","0","0","0","0","0"
"16219","списках","СУЩЕСТВИТЕЛЬНОЕ","0","0","3","0","0","0","0","0"
"16220","тружусь","ГЛАГОЛ","0","0","0","1","0","0","0","1"
