"id","group","name","0_5000_old","5000_10000_old","10000_15000_old","15000_20000_old","20000_25000_old","25000_30000_old","30000_35000_new","35000_38546_new"
"22214","СУЩЕСТВИТЕЛЬНОЕ","потребности","1","0","2","0","1","0","0","0"
"22215","СУЩЕСТВИТЕЛЬНОЕ","птицами","3","0","0","0","3","2","0","0"
"22216","ГЛАГОЛ","заключите","0","2","0","0","0","0","0","0"
"22217","ПРИЛАГАТЕЛЬНОЕ","неправые","0","0","0","1","0","0","0","0"
"22218","СУЩЕСТВИТЕЛЬНОЕ","сучьев","0","2","0","0","0","4","0","0"
"22219","СУЩЕСТВИТЕЛЬНОЕ","зерном","1","0","0","1","1","0","0","0"
"22220","ПРИЛАГАТЕЛЬНОЕ","начальных","0","0","0","1","0","0","0","0"
"22221","ГЛАГОЛ","напала","1","0","0","0","0","0","0","0"
"22222","ПРИЛАГАТЕЛЬНОЕ","родившийся","0","2","0","0","0","1","2","0"
"22224","СУЩЕСТВИТЕЛЬНОЕ","царствование","0","3","7","0","0","3","0","0"
"22225","ПРИЛАГАТЕЛЬНОЕ","проходящий","0","2","1","0","4","0","0","0"
"22401","ГЛАГОЛ","вылетит","0","0","0","0","0","1","0","0"
"22227","ПРИЛАГАТЕЛЬНОЕ","мягкую","0","0","0","1","0","0","0","0"
"22229","ГЛАГОЛ","возвращайтесь","0","1","0","0","0","1","0","0"
"22230","СУЩЕСТВИТЕЛЬНОЕ","буйвол","0","1","0","0","0","0","0","0"
"22231","СУЩЕСТВИТЕЛЬНОЕ","сидения","0","0","1","0","0","0","0","0"
"22232","СУЩЕСТВИТЕЛЬНОЕ","соседями","0","0","0","0","1","1","0","0"
"22233","СУЩЕСТВИТЕЛЬНОЕ","пиршества","0","0","3","1","2","9","0","0"
"22234","СУЩЕСТВИТЕЛЬНОЕ","спиною","0","0","1","0","3","0","0","0"
"22235","СУЩЕСТВИТЕЛЬНОЕ","ополчение","2","8","2","0","0","11","0","0"
"22236","ПРИЛАГАТЕЛЬНОЕ","соседним","0","0","0","0","0","1","0","0"
"22238","СУЩЕСТВИТЕЛЬНОЕ","владение","22","22","3","2","3","12","1","0"
"22239","ГЛАГОЛ","пустило","0","0","0","0","0","1","0","0"
"22240","ПРИЛАГАТЕЛЬНОЕ","глубокая","0","0","0","2","0","1","0","1"
"22241","ПРИЛАГАТЕЛЬНОЕ","освобождена","0","0","0","0","0","0","0","1"
"22242","СУЩЕСТВИТЕЛЬНОЕ","мудрости","0","6","8","30","17","4","7","9"
"22243","СУЩЕСТВИТЕЛЬНОЕ","птиц","17","1","0","8","3","5","6","2"
"22244","ПРИЛАГАТЕЛЬНОЕ","неудержимый","0","0","0","1","0","0","0","0"
"22245","ГЛАГОЛ","смутил","0","1","0","0","0","1","0","0"
"22246","ГЛАГОЛ","замолчу","0","0","1","0","0","0","0","0"
"22247","СУЩЕСТВИТЕЛЬНОЕ","иосифе","2","1","0","0","0","0","0","0"
"22248","ПРИЛАГАТЕЛЬНОЕ","горящего","0","0","0","0","0","1","1","0"
"22249","ГЛАГОЛ","пересчитает","0","0","1","0","0","0","0","0"
"22250","ПРИЛАГАТЕЛЬНОЕ","пришедшему","0","1","2","0","1","0","0","0"
"22251","СУЩЕСТВИТЕЛЬНОЕ","начальства","0","0","0","0","0","3","0","5"
